End-Uses,Substitute,Trade Name,"Retrofit/New",ODP,GWP,ASHRAE Designation (Safety Classification),SNAP Listing Date,Listing Status,Further Information
Residential Dehumidifiers,R-401A,SUVA MP-39,N,0.037,"1,182",A1,"January 13, 1995",Acceptable,
Residential Dehumidifiers,R-401B,SUVA MP-66,N,0.040,"1,288",A1,"January 13, 1995",Acceptable,
Stand-Alone Equipment,R-401A,SUVA MP-39,N,0.037,"1,182",A1,"January 13, 1995",Acceptable,
Stand-Alone Equipment,R-401B,SUVA MP-66,N,0.040,"1,288",A1,"January 13, 1995",Acceptable,
Supermarket Systems,R-401A,SUVA MP-39,N,0.037,"1,182",A1,"January 13, 1995",Acceptable,
Supermarket Systems,R-401B,SUVA MP-66,N,0.040,"1,288",A1,"January 13, 1995",Acceptable,
Vending Machines,R-401A,SUVA MP-39,N,0.037,"1,182",A1,"January 13, 1995",Acceptable,
Vending Machines,R-401B,SUVA MP-66,N,0.040,"1,288",A1,"January 13, 1995",Acceptable,
Water Coolers,R-401A,SUVA MP-39,N,0.037,"1,182",A1,"January 13, 1995",Acceptable,
Water Coolers,R-401B,SUVA MP-66,N,0.040,"1,288",A1,"January 13, 1995",Acceptable,
"Passenger Air Conditioning in Light-Duty, Medium-Duty, Heavy-Duty and Off-Road Vehicles",R-401C,,R/N,0,933,A1,"June 13, 1995",Acceptable,
Industrial Process Refrigeration,R-508A (PFC Blend Alpha),Klea 5R3,R/N,0,"13,214",A1,"July 28, 1995",Acceptable,
Industrial Process Refrigeration,R-508B,Suva 95,R/N,0,"13,396",A1,"July 28, 1995",Acceptable,
Non-Mechanical Heat Transfer Systems,Mineral Oil,,R/N,0,0,N/A,"July 28, 1995",Acceptable,
Very Low Temperature Refrigeration Systems,R-508A (PFC Blend Alpha),Klea 5R3,R/N,0,"13,214",A1,"July 28, 1995",Acceptable,
Very Low Temperature Refrigeration Systems,R-508B,Suva 95,R/N,0,"13,396",A1,"July 28, 1995",Acceptable,
Cold Storage Warehouses,GHG-HP (HCFC Blend Lambda),GHG-HP,R/N,0.056,"1,893",A1,"February 8, 1996",Acceptable,
Cold Storage Warehouses,R-411A,,R/N,0.048,"1,600",A2,"February 8, 1996",Acceptable,
Cold Storage Warehouses,R-411B,,R/N,0.052,"1,700",A2,"February 8, 1996",Acceptable,
Commerical Ice Machines,GHG-HP (HCFC Blend Lambda),GHG-HP,R/N,0.056,"1,893",A1,"February 8, 1996",Acceptable,
Commerical Ice Machines,R-410B,,N,0,"2,230",A1,"February 8, 1996",Acceptable,
Commerical Ice Machines,R-411A,,R/N,0.048,"1,600",A2,"February 8, 1996",Acceptable,
Commerical Ice Machines,R-411B,,R/N,0.052,"1,700",A2,"February 8, 1996",Acceptable,
Household Refrigerators and Freezers,FRIGC FR-12 (HCFC Blend Beta),FRIGC FR-12,R/N,0.009,"1,081",A1,"February 8, 1996",Acceptable,
Household Refrigerators and Freezers,GHG-HP (HCFC Blend Lambda),GHG-HP,R/N,0.056,"1,893",A1,"February 8, 1996",Acceptable,
Industrial Process Air Conditioning,R-410B,,N,0,"2,230",A1,"February 8, 1996",Acceptable,
Industrial Process Refrigeration,GHG-HP (HCFC Blend Lambda),GHG-HP,R/N,0.056,"1,893",A1,"February 8, 1996",Acceptable,
Industrial Process Refrigeration,R-411A,,R/N,0.048,"1,600",A2,"February 8, 1996",Acceptable,
Industrial Process Refrigeration,R-411B,,R/N,0.052,"1,700",A2,"February 8, 1996",Acceptable,
Positive Displacement Chillers,GHG-HP (HCFC Blend Lambda),GHG-HP,R/N,0.056,"1,893",A1,"February 8, 1996",Acceptable,Originally listed under reciprocating chillers only. 
Positive Displacement Chillers,R-411A,,R/N,0.048,"1,600",A2,"February 8, 1996",Acceptable,Originally listed under reciprocating chillers only. 
Positive Displacement Chillers,R-411B,,R/N,0.052,"1,700",A2,"February 8, 1996",Acceptable,Originally listed under reciprocating chillers only. 
Refrigerated Food Processing and Dispensing Equipment,GHG-HP (HCFC Blend Lambda),GHG-HP,R/N,0.056,"1,893",A1,"February 8, 1996",Acceptable,
Refrigerated Food Processing and Dispensing Equipment,R-411A,,R/N,0.048,"1,600",A2,"February 8, 1996",Acceptable,
Refrigerated Food Processing and Dispensing Equipment,R-411B,,R/N,0.052,"1,700",A2,"February 8, 1996",Acceptable,
Refrigerated Transport,GHG-HP (HCFC Blend Lambda),GHG-HP,R/N,0.056,"1,893",A1,"February 8, 1996",Acceptable,
Refrigerated Transport,R-410B,,N,0,"2,230",A1,"February 8, 1996",Acceptable,
Refrigerated Transport,R-411A,,R/N,0.048,"1,600",A2,"February 8, 1996",Acceptable,
Refrigerated Transport,R-411B,,R/N,0.052,"1,700",A2,"February 8, 1996",Acceptable,
Remote Condensing Units,GHG-HP (HCFC Blend Lambda),GHG-HP,R/N,0.056,"1,893",A1,"February 8, 1996",Acceptable,
Remote Condensing Units,R-411A,,R/N,0.048,"1,600",A2,"February 8, 1996",Acceptable,
Remote Condensing Units,R-411B,,R/N,0.052,"1,700",A2,"February 8, 1996",Acceptable,
Residential and Light Commercial Air Conditioning and Heat Pumps ,R-410B,,N,0,"2,230",A1,"February 8, 1996",Acceptable,
Residential Dehumidifiers,GHG-HP (HCFC Blend Lambda),GHG-HP,R/N,0.056,"1,893",A1,"February 8, 1996",Acceptable,
Residential Dehumidifiers,R-410B,,N,0,"2,230",A1,"February 8, 1996",Acceptable,
Stand-Alone Equipment,GHG-HP (HCFC Blend Lambda),GHG-HP,R/N,0.056,"1,893",A1,"February 8, 1996",Acceptable,
Stand-Alone Equipment,R-411A,,R/N,0.048,"1,600",A2,"February 8, 1996",Acceptable,
Stand-Alone Equipment,R-411B,,R/N,0.052,"1,700",A2,"February 8, 1996",Acceptable,
Supermarket Systems,GHG-HP (HCFC Blend Lambda),GHG-HP,R/N,0.056,"1,893",A1,"February 8, 1996",Acceptable,
Supermarket Systems,R-411A,,R/N,0.048,"1,600",A2,"February 8, 1996",Acceptable,
Supermarket Systems,R-411B,,R/N,0.052,"1,700",A2,"February 8, 1996",Acceptable,
Vending Machines,GHG-HP (HCFC Blend Lambda),GHG-HP,R/N,0.056,"1,893",A1,"February 8, 1996",Acceptable,
Vending Machines,R-411A,,R/N,0.048,"1,600",A2,"February 8, 1996",Acceptable,
Vending Machines,R-411B,,R/N,0.052,"1,700",A2,"February 8, 1996",Acceptable,
Very Low Temperature Refrigeration Systems,R-410B,,N,0,"2,230",A1,"February 8, 1996",Acceptable,
Water Coolers,GHG-HP (HCFC Blend Lambda),GHG-HP,R/N,0.056,"1,893",A1,"February 8, 1996",Acceptable,
Water Coolers,R-410B,,N,0,"2,230",A1,"February 8, 1996",Acceptable,
Water Coolers,R-411A,,R/N,0.048,"1,600",A2,"February 8, 1996",Acceptable,
Water Coolers,R-411B,,R/N,0.052,"1,700",A2,"February 8, 1996",Acceptable,
"Passenger Air Conditioning in Light-Duty, Medium-Duty, Heavy-Duty and Off-Road Vehicles",Ikon A,"Ikon-12, Blend Zeta",R/N,0,N/A,A1,"May 22, 1996",Acceptable with Use Conditions: See rule for detailed conditions.,
Centrifugal Chillers,FOR12A,FOR12A,R/N,0,"1,100",A1,"December 18, 2000; December 1, 2016","Unacceptable in new equipment, except as otherwise allowed under a narrowed use limit, as of January 1, 2024.",
Centrifugal Chillers,FOR12B,FOR12B,R/N,0,"1,000",A1,"December 18, 2000; December 1, 2016","Unacceptable in new equipment, except as otherwise allowed under a narrowed use limit, as of January 1, 2024.",
Centrifugal Chillers,Free Zone (HCFC Blend Delta),Free Zone/ RB-276,R/N,0.013,"1,592",A1,"September 5, 1996",Acceptable,
Centrifugal Chillers,Freeze 12,Freeze 12,R/N,0.013,"1,606",A1,"September 5, 1996",Acceptable,
Centrifugal Chillers,FRIGC FR-12 (HCFC Blend Beta),FRIGC FR-12,R/N,0.009,"1,081",A1,"February 24, 1998",Acceptable,
Cold Storage Warehouses,Ammonia Absorption,,N,0,0,B2,"September 5, 1996",Acceptable,
Cold Storage Warehouses,Free Zone (HCFC Blend Delta),Free Zone/ RB-276,R/N,0.013,"1,592",A1,"September 5, 1996",Acceptable,
Cold Storage Warehouses,Freeze 12,Freeze 12,R/N,0.013,"1,606",A1,"September 5, 1996",Acceptable,
Cold Storage Warehouses,G2018C,G2018C,R/N,0.053,"1,731",A1,"September 5, 1996",Acceptable,
Cold Storage Warehouses,GHG-X4,"GHG-X4, Autofrost, Chill-it",R/N,0.045,"1,478",A1,"September 5, 1996",Acceptable,
Cold Storage Warehouses,Hot Shot,"Hot Shot, Kar Kool",R/N,0.098,"3,337",A1,"September 5, 1996",Acceptable,
Commerical Ice Machines,Ammonia Absorption,,N,0,0,B2,"September 5, 1996",Acceptable,
Commerical Ice Machines,Free Zone (HCFC Blend Delta),Free Zone/ RB-276,R/N,0.013,"1,592",A1,"September 5, 1996",Acceptable,
Commerical Ice Machines,Freeze 12,Freeze 12,R/N,0.013,"1,606",A1,"September 5, 1996",Acceptable,
Commerical Ice Machines,G2018C,G2018C,R/N,0.053,"1,731",A1,"September 5, 1996",Acceptable,
Commerical Ice Machines,GHG-X4,"GHG-X4, Autofrost, Chill-it",R/N,0.045,"1,478",A1,"September 5, 1996",Acceptable,
Commerical Ice Machines,Hot Shot,"Hot Shot, Kar Kool",R/N,0.098,"3,337",A1,"September 5, 1996",Acceptable,
Household Refrigerators and Freezers,Free Zone (HCFC Blend Delta),Free Zone / RB-276,R/N,0.013,"1,592",A1,"September 5, 1996",Acceptable,
Household Refrigerators and Freezers,Freeze 12,Freeze 12,R/N,0.013,"1,606",A1,"September 5, 1996",Acceptable,
Household Refrigerators and Freezers,GHG-X4,"GHG-X4, Autofrost, Chill-it",R/N,0.045,"1,478",A1,"September 5, 1996",Acceptable,
Household Refrigerators and Freezers,Hot Shot,"Hot Shot, Kar Kool",R/N,0.098,"3,337",A1,"September 5, 1996",Acceptable,
Ice Skating Rinks,Free Zone (HCFC Blend Delta),Free Zone/ RB-276,R/N,0.013,"1,592",A1,"September 5, 1996",Acceptable,
Ice Skating Rinks,Freeze 12,Freeze 12,R/N,0.013,"1,606",A1,"September 5, 1996",Acceptable,
Ice Skating Rinks,G2018C,G2018C,R/N,0.053,"1,731",A1,"September 5, 1996",Acceptable,
Ice Skating Rinks,GHG-X4,"GHG-X4, Autofrost, Chill-it",R/N,0.045,"1,478",A1,"September 5, 1996",Acceptable,
Ice Skating Rinks,Hot Shot,"Hot Shot, Kar Kool",R/N,0.098,"3,337",A1,"September 5, 1996",Acceptable,
Industrial Process Air Conditioning,Ammonia Absorption,,N,0,0,B2,"September 5, 1996",Acceptable,
Industrial Process Air Conditioning,Ammonia Vapor Compression,,N,0,0,B2,"September 5, 1996",Acceptable,
Industrial Process Air Conditioning,Evaporative Cooling,,N,0,N/A,N/A,"September 5, 1996",Acceptable,
Industrial Process Refrigeration,Free Zone (HCFC Blend Delta),Free Zone/ RB-276,R/N,0.013,"1,592",A1,"September 5, 1996",Acceptable,
Industrial Process Refrigeration,Freeze 12,Freeze 12,R/N,0.013,"1,606",A1,"September 5, 1996",Acceptable,
Industrial Process Refrigeration,G2018C,G2018C,R/N,0.053,"1,731",A1,"September 5, 1996",Acceptable,
Industrial Process Refrigeration,GHG-X4,"GHG-X4, Autofrost, Chill-it",R/N,0.045,"1,478",A1,"September 5, 1996",Acceptable,
Industrial Process Refrigeration,Hot Shot,"Hot Shot, Kar Kool",R/N,0.098,"3,337",A1,"September 5, 1996",Acceptable,
Industrial Process Refrigeration,NARM-502,,R/N,>0,N/A,A1,"September 5, 1996",Acceptable,
Passenger Air Conditioning in Buses and Trains,Free Zone (HCFC Blend Delta),Free Zone/ RB-276,R/N,0.013,"1,592",A1,"September 5, 1996",Acceptable,
Passenger Air Conditioning in Buses and Trains,Freeze 12,Freeze 12,R/N,0.013,"1,606",A1,"September 5, 1996",Acceptable,
Passenger Air Conditioning in Buses and Trains,GHG-X4,"GHG-X4, Autofrost, Chill-it",R/N,0.045,"1,478",A1,"September 5, 1996",Acceptable,
Passenger Air Conditioning in Buses and Trains,Hot Shot,"Hot Shot, Kar Kool",R/N,0.098,"3,337",A1,"September 5, 1996",Acceptable,
Passenger Air Conditioning in Buses and Trains,R-401C,,R/N,0,933,A1,"September 5, 1996",Acceptable,
Positive Displacement Chillers,Free Zone (HCFC Blend Delta),Free Zone/ RB-276,R/N,0.013,"1,592",A1,"September 5, 1996",Acceptable,Originally listed under reciprocating chillers only. 
Positive Displacement Chillers,Freeze 12,Freeze 12,R/N,0.013,"1,606",A1,"September 5, 1996",Acceptable,Originally listed under reciprocating chillers only. 
Positive Displacement Chillers,G2018C,G2018C,R/N,0.053,"1,731",A1,"September 5, 1996",Acceptable,Originally listed under reciprocating chillers only. 
Positive Displacement Chillers,GHG-X4,"GHG-X4, Autofrost, Chill-it",R/N,0.045,"1,478",A1,"September 5, 1996",Acceptable,Originally listed under reciprocating chillers only. 
Positive Displacement Chillers,Hot Shot,"Hot Shot, Kar Kool",R/N,0.098,"3,337",A1,"September 5, 1996",Acceptable,Originally listed under reciprocating chillers only. 
Refrigerated Food Processing and Dispensing Equipment,Free Zone (HCFC Blend Delta),Free Zone / RB-276,R/N,0.013,"1,592",A1,"September 5, 1996",Acceptable,
Refrigerated Food Processing and Dispensing Equipment,Freeze 12,Freeze 12,R/N,0.013,"1,606",A1,"September 5, 1996",Acceptable,
Refrigerated Food Processing and Dispensing Equipment,GHG-X4,"GHG-X4, Autofrost, Chill-it",R/N,0.045,"1,478",A1,"September 5, 1996",Acceptable,
Refrigerated Transport,Free Zone (HCFC Blend Delta),Free Zone/ RB-276,R/N,0.013,"1,592",A1,"September 5, 1996",Acceptable,
Refrigerated Transport,Freeze 12,Freeze 12,R/N,0.013,"1,606",A1,"September 5, 1996",Acceptable,
Refrigerated Transport,G2018C,G2018C,R/N,0.053,"1,731",A1,"September 5, 1996",Acceptable,
