End-Uses,Substitute,Trade Name,"Retrofit/New",ODP,GWP,ASHRAE Designation (Safety Classification),SNAP Listing Date,Listing Status,Further Information
Refrigerated Transport,R-421B,Choice R-421B,R/N,0,"3,190",A1,"September 28, 2006",Acceptable,
Refrigerated Transport,R-422D,ISCEON MO29,R/N,0,"2,730",A1,"September 28, 2006",Acceptable,
Refrigerated Transport,R-424A,RS-44,R/N,0,"2,440",A1,"September 28, 2006",Acceptable,
Residential and Light Commercial Air Conditioning and Heat Pumps ,R-421A,Choice R-421A,R/N,0,"2,630",A1,"September 28, 2006",Acceptable,
Residential and Light Commercial Air Conditioning and Heat Pumps ,R-422D,ISCEON MO29,R/N,0,"2,730",A1,"September 28, 2006",Acceptable,
Residential and Light Commercial Air Conditioning and Heat Pumps ,R-424A,RS-44,R/N,0,"2,440",A1,"September 28, 2006",Acceptable,
Residential Dehumidifiers,R-421A,Choice R-421A,R/N,0,"2,630",A1,"September 28, 2006",Acceptable,
Residential Dehumidifiers,R-422D,ISCEON MO29,R/N,0,"2,730",A1,"September 28, 2006",Acceptable,
Residential Dehumidifiers,R-424A,RS-44,R/N,0,"2,440",A1,"September 28, 2006",Acceptable,
Water Coolers,R-421A,Choice R-421A,R/N,0,"2,630",A1,"September 28, 2006",Acceptable,
Water Coolers,R-422D,ISCEON MO29,R/N,0,"2,730",A1,"September 28, 2006",Acceptable,
Commerical Ice Machines,R-428A,RS-52,R/N,0,"3,610",A1,"October 4, 2007",Acceptable,
Commerical Ice Machines,R-434A,RS-45,R/N,0,"3,250",A1,"October 4, 2007",Acceptable,
Industrial Process Air Conditioning,R-434A,RS-45,R/N,0,"3,250",A1,"October 4, 2007",Acceptable,
Refrigerated Transport,R-428A,RS-52,R/N,0,"3,610",A1,"October 4, 2007",Acceptable,
Refrigerated Transport,R-434A,RS-45,R/N,0,"3,250",A1,"October 4, 2007",Acceptable,
Residential and Light Commercial Air Conditioning and Heat Pumps ,R-434A,RS-45,R/N,0,"3,250",A1,"October 4, 2007",Acceptable,
Residential Dehumidifiers,R-434A,RS-45,R/N,0,"3,250",A1,"October 4, 2007",Acceptable,
Water Coolers,R-434A,RS-45,R/N,0,"3,250",A1,"October 4, 2007",Acceptable,
"Passenger Air Conditioning in Light-Duty, Medium-Duty, Heavy-Duty and Off-Road Vehicles",HFC-152a,,N,0,124,A2,"June 12, 2008",Acceptable with Use Conditions: See rule for detailed conditions.,
Cold Storage Warehouses,R-437A,"KDD6, ISCEON MO49 Plus",R/N,0,"1,810",A1,"January 2, 2009",Acceptable,
Commerical Ice Machines,R-437A,"KDD6, ISCEON MO49 Plus",R/N,0,"1,810",A1,"January 2, 2009",Acceptable,
Household Refrigerators and Freezers,R-427A,Forane 427A,R,0,"2,140",A1,"January 2, 2009",Acceptable,
Ice Skating Rinks,R-437A,"KDD6, ISCEON MO49 Plus",R/N,0,"1,810",A1,"January 2, 2009",Acceptable,
Industrial Process Air Conditioning,R-427A,Forane 427A,R,0,"2,140",A1,"January 2, 2009",Acceptable,
Industrial Process Air Conditioning,R-437A,"KDD6, ISCEON MO49 Plus",R/N,0,"1,810",A1,"January 2, 2009",Acceptable,
Industrial Process Refrigeration,R-437A,"KDD6, ISCEON MO49 Plus",R/N,0,"1,810",A1,"January 2, 2009",Acceptable,
Non-Mechanical Heat Transfer Systems,R-437A,"KDD6, ISCEON MO49 Plus",R/N,0,"1,810",A1,"January 2, 2009",Acceptable,
Refrigerated Transport,R-437A,"KDD6, ISCEON MO49 Plus",R/N,0,"1,810",A1,"January 2, 2009",Acceptable,
Remote Condensing Units,R-437A,"KDD6, ISCEON MO49 Plus",R/N,0,"1,810",A1,"January 2, 2009",Acceptable,
Residential and Light Commercial Air Conditioning and Heat Pumps ,R-407A,"Klea 60, Klea 407A",R/N,0,"2,110",A1,"January 2, 2009",Acceptable,
Residential and Light Commercial Air Conditioning and Heat Pumps ,R-427A,Forane 427A,R,0,"2,140",A1,"January 2, 2009",Acceptable,
Supermarket Systems,R-437A,"KDD6, ISCEON MO49 Plus",R/N,0,"1,810",A1,"January 2, 2009",Acceptable,
Water Coolers,R-437A,"KDD6, ISCEON MO49 Plus",R/N,0,"1,810",A1,"January 2, 2009",Acceptable,
Cold Storage Warehouses,"R-744 (Carbon Dioxide, CO2)",,N,0,1,A1,"September 30, 2009",Acceptable,
Refrigerated Food Processing and Dispensing Equipment,"R-744 (Carbon Dioxide, CO2)",,N,0,1,A1,"September 30, 2009",Acceptable,
Remote Condensing Units,"R-744 (Carbon Dioxide, CO2)",,N,0,1,A1,"September 30, 2009",Acceptable,
Stand-Alone Equipment,"R-744 (Carbon Dioxide, CO2)",,N,0,1,A1,"September 30, 2009",Acceptable,
Supermarket Systems,"R-744 (Carbon Dioxide, CO2)",,N,0,1,A1,"September 30, 2009",Acceptable,
Centrifugal Chillers,HFC-134a,134a,R/N,0,"1,430",A1,"March 18, 1994; June 16, 2010; December 1, 2016","Unacceptable in new equipment, except as otherwise allowed under a narrowed use limit for military marine vessels and human-rated spacecraft and related support equipment, as of January 1, 2024.",
Cold Storage Warehouses,Stirling Cycle,,N,0,N/A,N/A,"June 16, 2010",Acceptable,
Commerical Ice Machines,RS-44 (2003 formulation),,R/N,0,"2,420",A1,"June 16, 2010",Acceptable,
Commerical Ice Machines,Stirling Cycle,,N,0,N/A,N/A,"June 16, 2010",Acceptable,
Ice Skating Rinks,RS-44 (2003 formulation),,R/N,0,"2,420",A1,"June 16, 2010",Acceptable,
Industrial Process Air Conditioning,Desiccant Cooling,,N,0,N/A,N/A,"June 16, 2010",Acceptable,
Industrial Process Air Conditioning,R-125/R-134a/R-600a (28.1/70.0/1.9),NU-22 old composition,R/N,0,"1,990",A1,"June 16, 2010",Acceptable,
Industrial Process Air Conditioning,RS-44 (2003 formulation),,R/N,0,"2,420",A1,"June 16, 2010",Acceptable,
Industrial Process Refrigeration,R-125/R-134a/R-600a (28.1/70.0/1.9),NU-22 old composition,R/N,0,"1,990",A1,"June 16, 2010",Acceptable,
Industrial Process Refrigeration,R-427A,Forane 427A,R,0,"2,140",A1,"June 16, 2010",Acceptable,
Industrial Process Refrigeration,RS-44 (2003 formulation),,R/N,0,"2,420",A1,"June 16, 2010",Acceptable,
Non-Mechanical Heat Transfer Systems,HFO-1234ze,Solstice 1234ze,R/N,0,6,A2L,"June 16, 2010",Acceptable,
Passenger Air Conditioning in Buses and Trains,Evaporative Cooling,,N,0,N/A,N/A,"June 16, 2010",Acceptable,
Passenger Air Conditioning in Buses and Trains,R-125/R-134a/R-600a (28.1/70.0/1.9),NU-22 old composition,R/N,0,"1,990",A1,"June 16, 2010",Acceptable,
Passenger Air Conditioning in Buses and Trains,R-417A,"ISCEON 59, NU-22",R/N,0,"2,350",A1,"June 16, 2010",Acceptable,
Passenger Air Conditioning in Buses and Trains,R-426A,RS-24,R/N,0,"1,510",A1,"June 16, 2010",Acceptable,
Passenger Air Conditioning in Buses and Trains,RS-24 (2002 formulation),,R/N,0,"1,510",A1,"June 16, 2010",Acceptable,
Passenger Air Conditioning in Buses and Trains,SP34E,SP34E,R/N,0,"<1,470",A1,"June 16, 2010",Acceptable,
Passenger Air Conditioning in Buses and Trains,Stirling Cycle,,N,0,N/A,N/A,"June 16, 2010",Acceptable,
Positive Displacement Chillers,Desiccant Cooling,,N,0,N/A,N/A,"June 16, 2010",Acceptable,Not originally listed under scroll chillers.
Positive Displacement Chillers,Stirling Cycle,,N,0,N/A,N/A,"June 16, 2010",Acceptable,Not originally listed under scroll chillers.
Refrigerated Transport,R-125/R-134a/R-600a (28.1/70.0/1.9),NU-22 old composition,R/N,0,"1,990",A1,"June 16, 2010",Acceptable,
Refrigerated Transport,RS-44 (2003 formulation),,R/N,0,"2,420",A1,"June 16, 2010",Acceptable,
Remote Condensing Units,R-125/R-290/R-134a/R-600a (55.0/1.0/42.5/1.5),ICOR AT-22,R/N,0,"2,530",A1,"June 16, 2010",Acceptable,
Remote Condensing Units,RS-44 (2003 formulation),,R/N,0,"2,420",A1,"June 16, 2010",Acceptable,
Residential and Light Commercial Air Conditioning and Heat Pumps ,R-125/R-134a/R-600a (28.1/70.0/1.9),NU-22 old composition,R/N,0,"1,990",A1,"June 16, 2010",Acceptable,
Residential and Light Commercial Air Conditioning and Heat Pumps ,RS-44 (2003 formulation),,R/N,0,"2,420",A1,"June 16, 2010",Acceptable,
Residential Dehumidifiers,R-125/R-134a/R-600a (28.1/70.0/1.9),NU-22 old composition,R/N,0,"1,990",A1,"June 16, 2010",Acceptable,
Residential Dehumidifiers,RS-44 (2003 formulation),,R/N,0,"2,420",A1,"June 16, 2010",Acceptable,
Supermarket Systems,R-125/R-290/R-134a/R-600a (55.0/1.0/42.5/1.5),ICOR AT-22,R/N,0,"2,530",A1,"June 16, 2010",Acceptable,
Supermarket Systems,RS-44 (2003 formulation),,R/N,0,"2,420",A1,"June 16, 2010",Acceptable,
Very Low Temperature Refrigeration Systems,HFE-7000,,R/N,0,575,A1,"June 16, 2010",Acceptable,
Centrifugal Chillers,HFC-227ea,,N,0,"3,220",A1,"March 18, 1994; June 16, 2010; December 1, 2016","Unacceptable, except as otherwise allowed under a narrowed use limit, as of January 1, 2024.",
Cold Storage Warehouses,R-407F ,Genetron Performax LT,R/N,0,"1,820",A1,"October 4, 2011",Acceptable,
Cold Storage Warehouses,R-417C,Hot Shot 2,R,0,"1,820",A1,"October 4, 2011",Acceptable,
Commerical Ice Machines,R-407F ,Genetron Performax LT,R/N,0,"1,820",A1,"October 4, 2011",Acceptable,
Commerical Ice Machines,R-417C,Hot Shot 2,R,0,"1,820",A1,"October 4, 2011",Acceptable,
Ice Skating Rinks,R-407F ,Genetron Performax LT,R/N,0,"1,820",A1,"October 4, 2011",Acceptable,
Ice Skating Rinks,R-417C,Hot Shot 2,R,0,"1,820",A1,"October 4, 2011",Acceptable,
Industrial Process Air Conditioning,R-407F ,Genetron Performax LT,R/N,0,"1,820",A1,"October 4, 2011",Acceptable,
Industrial Process Refrigeration,R-407F ,Genetron Performax LT,R/N,0,"1,820",A1,"October 4, 2011",Acceptable,
Industrial Process Refrigeration,R-417C,Hot Shot 2,R,0,"1,820",A1,"October 4, 2011",Acceptable,
Passenger Air Conditioning in Buses and Trains,R-407F ,Genetron Performax LT,R/N,0,"1,820",A1,"October 4, 2011",Acceptable,
Positive Displacement Chillers,R-417C,Hot Shot 2,R,0,"1,820",A1,"October 4, 2011",Acceptable,Not originally listed under scroll chillers.
Refrigerated Food Processing and Dispensing Equipment,R-417C,Hot Shot 2,R,0,"1,820",A1,"October 4, 2011",Acceptable,
Refrigerated Transport,R-407F ,Genetron Performax LT,R/N,0,"1,820",A1,"October 4, 2011",Acceptable,
Refrigerated Transport,R-417C,Hot Shot 2,R,0,"1,820",A1,"October 4, 2011",Acceptable,
Remote Condensing Units,R-407F ,Genetron Performax LT,R/N,0,"1,820",A1,"October 4, 2011",Acceptable,
Remote Condensing Units,R-417C,Hot Shot 2,R,0,"1,820",A1,"October 4, 2011",Acceptable,
Residential and Light Commercial Air Conditioning and Heat Pumps ,R-407F ,Genetron Performax LT,R/N,0,"1,820",A1,"October 4, 2011",Acceptable,
Residential and Light Commercial Air Conditioning and Heat Pumps ,R-417C,Hot Shot 2,R,0,"1,820",A1,"October 4, 2011",Acceptable,
Residential Dehumidifiers,R-417C,Hot Shot 2,R,0,"1,820",A1,"October 4, 2011",Acceptable,
Stand-Alone Equipment,R-417C,Hot Shot 2,R,0,"1,820",A1,"October 4, 2011",Acceptable,
Supermarket Systems,R-407F ,Genetron Performax LT,R/N,0,"1,820",A1,"October 4, 2011",Acceptable,
Supermarket Systems,R-417C,Hot Shot 2,R,0,"1,820",A1,"October 4, 2011",Acceptable,
Vending Machines,R-417C,Hot Shot 2,R,0,"1,820",A1,"October 4, 2011",Acceptable,
Stand-Alone Equipment,R-290 (Propane),,N,0,3,A3,"December 20, 2011; June 13, 2024",Acceptable with Use Conditions: See rule for detailed conditions.,
"Passenger Air Conditioning in Light-Duty, Medium-Duty, Heavy-Duty and Off-Road Vehicles","R-744 (Carbon Dioxide, CO2)",,N,0,1,A1,"June 13, 2024",Acceptable with Use Conditions: See rule for detailed conditions.,
Centrifugal Chillers,HFC-236fa,,R/N,0,"9,810",A1,"February 8, 1996; December 1, 2016","Unacceptable in new equipment, except as otherwise allowed under a narrowed use limit, as of January 1, 2024.",
Centrifugal Chillers,HFC-245fa,Genetron® 245fa,R/N,0,"1,030",A1,"March 29, 2006; June 16, 2010; December 1, 2016","Unacceptable in new equipment, except as otherwise allowed under a narrowed use limit, as of January 1, 2024.",
Non-Mechanical Heat Transfer Systems,C7 Fluoroketone,Novec™ 774,R/N,0,1,A1,"August 10, 2012",Acceptable,
Positive Displacement Chillers,HFO-1234ze,Solstice 1234ze,N,0,6,A2L,"August 10, 2012",Acceptable,
Vending Machines,"R-744 (Carbon Dioxide, CO2)",,N,0,1,A1,"August 10, 2012",Acceptable,
Commerical Ice Machines,R-442A,RS-50,R,0,"1,890",A1,"May 17, 2013",Acceptable,
Ice Skating Rinks,R-442A,RS-50,R,0,"1,890",A1,"May 17, 2013",Acceptable,
Refrigerated Food Processing and Dispensing Equipment,R-442A,RS-50,R,0,"1,890",A1,"May 17, 2013",Acceptable,
Remote Condensing Units,R-442A,RS-50,R,0,"1,890",A1,"May 17, 2013",Acceptable,
Supermarket Systems,R-442A,RS-50,R,0,"1,890",A1,"May 17, 2013",Acceptable,
Centrifugal Chillers,HFC-32,,N,0,675,A2L,"April 28, 2023",Acceptable with Use Conditions: See rule for detailed conditions.,
Cold Storage Warehouses,R-450A,Solstice® N-13,R/N,0,601,A1,"October 21, 2014",Acceptable,
Commerical Ice Machines,R-450A,Solstice® N-13,R/N,0,601,A1,"October 21, 2014",Acceptable,
Household Refrigerators and Freezers,R-450A,Solstice® N-13,R/N,0,601,A1,"October 21, 2014",Acceptable,
Industrial Process Air Conditioning,R-450A,Solstice® N-13,R/N,0,601,A1,"October 21, 2014",Acceptable,
Industrial Process Refrigeration,R-450A,Solstice® N-13,R/N,0,601,A1,"October 21, 2014",Acceptable,
Non-Mechanical Heat Transfer Systems,"Trans-1-chloro-3,3,3-trifluoroprop-1-ene","Solstice 1233zd(E), Solstice N12 Refrigerant",N,0.00024 - 0.00034,4.7 - 7,A1,"October 21, 2014",Acceptable,
Positive Displacement Chillers,R-450A,Solstice® N-13,R/N,0,601,A1,"October 21, 2014",Acceptable,
Refrigerated Food Processing and Dispensing Equipment,R-450A,Solstice® N-13,R/N,0,601,A1,"October 21, 2014",Acceptable,
Refrigerated Transport,R-450A,Solstice® N-13,R/N,0,601,A1,"October 21, 2014",Acceptable,
Refrigerated Transport,"R-744 (Carbon Dioxide, CO2)",,N,0,1,A1,"October 21, 2014",Acceptable,
Remote Condensing Units,R-450A,Solstice® N-13,R/N,0,601,A1,"October 21, 2014",Acceptable,
Stand-Alone Equipment,R-450A,Solstice® N-13,R/N,0,601,A1,"October 21, 2014",Acceptable,
Supermarket Systems,R-450A,Solstice® N-13,R/N,0,601,A1,"October 21, 2014",Acceptable,
Water Coolers,R-450A,Solstice® N-13,R/N,0,601,A1,"October 21, 2014",Acceptable,
Non-Mechanical Heat Transfer Systems,R-170 (Ethane),,N,0,5.5,A3,"April 10, 2015",Acceptable with Use Conditions: See rule for detailed conditions.,
Residential and Light Commercial Air Conditioning and Heat Pumps ,R-290 (Propane),,N,0,3,A3,"April 10, 2015",Acceptable with Use Conditions: For use in self-contained room air conditioning; see rule for detailed conditions.,
Residential and Light Commercial Air Conditioning and Heat Pumps ,R-441A,,N,0,<5,A3,"April 10, 2015",Acceptable with Use Conditions: For use in self-contained room air conditioning; see rule for detailed conditions.,
Stand-Alone Equipment,R-441A,,N,0,<5,A3,"April 10, 2015",Acceptable with Use Conditions: See rule for detailed conditions.,
Stand-Alone Equipment,R-600a (Isobutane),,N,0,3,A3,"April 10, 2015",Acceptable with Use Conditions: See rule for detailed conditions.,
Vending Machines,R-290 (Propane),,N,0,3,A3,"April 10, 2015",Acceptable with Use Conditions: See rule for detailed conditions.,
Vending Machines,R-441A,,N,0,<5,A3,"April 10, 2015",Acceptable with Use Conditions: See rule for detailed conditions.,
Vending Machines,R-600a (Isobutane),,N,0,3,A3,"April 10, 2015",Acceptable with Use Conditions: See rule for detailed conditions.,
Very Low Temperature Refrigeration Systems,R-170 (Ethane),,N,0,5.5,A3,"April 10, 2015",Acceptable with Use Conditions: See rule for detailed conditions.,
Centrifugal Chillers,HFO-1234yf,,N,0,<4,A2L,"April 28, 2023",Acceptable with Use Conditions: See rule for detailed conditions.,
Cold Storage Warehouses,R-513A,Opteon® XP 10,R/N,0,630,A1,"July 16, 2015",Acceptable,
Commerical Ice Machines,R-448A,Solstice® N-40,R/N,0,"1,387",A1,"July 16, 2015",Acceptable,
Commerical Ice Machines,R-449A,Opteon® XP 40,R/N,0,"1,400",A1,"July 16, 2015",Acceptable,
Commerical Ice Machines,R-513A,Opteon® XP 10,R/N,0,630,A1,"July 16, 2015",Acceptable,
Household Refrigerators and Freezers,R-513A,Opteon® XP 10,R/N,0,630,A1,"July 16, 2015",Acceptable,
Industrial Process Air Conditioning,R-513A,Opteon® XP 10,R/N,0,630,A1,"July 16, 2015",Acceptable,
Industrial Process Refrigeration,R-513A,Opteon® XP 10,R/N,0,630,A1,"July 16, 2015",Acceptable,
Non-Mechanical Heat Transfer Systems,Methoxytridecafluoroheptene isomers,MPHE; Sinera™,R/N,0,2.5,A1,"July 16, 2015",Acceptable,
Positive Displacement Chillers,R-513A,Opteon® XP 10,R/N,0,630,A1,"July 16, 2015",Acceptable,
Refrigerated Transport,R-448A,Solstice® N-40,R/N,0,"1,387",A1,"July 16, 2015",Acceptable,
Refrigerated Transport,R-449A,Opteon® XP 40,R/N,0,"1,400",A1,"July 16, 2015",Acceptable,
Refrigerated Transport,R-513A,Opteon® XP 10,R/N,0,630,A1,"July 16, 2015",Acceptable,
Remote Condensing Units,R-448A,Solstice® N-40,R/N,0,"1,387",A1,"July 16, 2015",Acceptable,
Remote Condensing Units,R-449A,Opteon® XP 40,R/N,0,"1,400",A1,"July 16, 2015",Acceptable,
Remote Condensing Units,R-513A,Opteon® XP 10,R/N,0,630,A1,"July 16, 2015",Acceptable,
Stand-Alone Equipment,R-513A,Opteon® XP 10,R/N,0,630,A1,"July 16, 2015","Acceptable with Use Conditions: Low temperature (i.e., temperatures at or below 32°F (0 °C)) and medium temperature (i.e., temperatures above 32°F (0 °C)) stand-alone equipment.",
Supermarket Systems,R-448A,Solstice® N-40,R/N,0,"1,387",A1,"July 16, 2015",Acceptable,
Supermarket Systems,R-449A,Opteon® XP 40,R/N,0,"1,400",A1,"July 16, 2015",Acceptable,
Supermarket Systems,R-513A,Opteon® XP 10,R/N,0,630,A1,"July 16, 2015",Acceptable,
Vending Machines,R-513A,Opteon® XP 10,R/N,0,630,A1,"July 16, 2015",Acceptable,
Water Coolers,R-513A,Opteon® XP 10,R/N,0,630,A1,"July 16, 2015",Acceptable,
Centrifugal Chillers,HFO-1234ze,Solstice 1234ze,N,0,6,A2L,"August 10, 2012",Acceptable,
Centrifugal Chillers,"HFO-1336mzz(Z) ((Z)-1,1,1,4,4,4-hexafluorobut-2-ene)",Opteon® MZ,N,0,9,A1,"May 23, 2016",Acceptable,
Centrifugal Chillers,HFO-1336mzz(Z)/dichloroethylene blend (R-514A),Opteon® XP30,R/N,0.00006,7,B1,"May 23, 2016",Acceptable,
Ice Skating Rinks,"R-744 (Carbon Dioxide, CO2)",,N,0,1,A1,"May 23, 2016",Acceptable,
Industrial Process Air Conditioning,"HFO-1336mzz(Z) ((Z)-1,1,1,4,4,4-hexafluorobut-2-ene)",Opteon® MZ,N,0,9,A1,"May 23, 2016",Acceptable,
Industrial Process Air Conditioning,"R-744 (Carbon Dioxide, CO2)",,N,0,1,A1,"May 23, 2016",Acceptable,
Non-Mechanical Heat Transfer Systems,"HFO-1336mzz(Z) ((Z)-1,1,1,4,4,4-hexafluorobut-2-ene)",Opteon® MZ,R/N,0,9,A1,"May 23, 2016",Acceptable,
Positive Displacement Chillers,"HFO-1336mzz(Z) ((Z)-1,1,1,4,4,4-hexafluorobut-2-ene)",Opteon® MZ,N,0,9,A1,"May 23, 2016",Acceptable,
Positive Displacement Chillers,HFO-1336mzz(Z)/dichloroethylene blend (R-514A),Opteon® XP30,R/N,0.00006,7,B1,"May 23, 2016",Acceptable,
Positive Displacement Chillers,"R-744 (Carbon Dioxide, CO2)",,N,0,1,A1,"May 23, 2016",Acceptable,
Refrigerated Food Processing and Dispensing Equipment,R-513A,Opteon® XP 10,R/N,0,630,A1,"May 23, 2016",Acceptable,
Commerical Ice Machines,R-449B,Forane® 449B,R/N,0,"1,412",A1,"October 11, 2016",Acceptable,
Refrigerated Food Processing and Dispensing Equipment,R-448A,Solstice® N-40,R/N,0,"1,387",A1,"October 11, 2016",Acceptable,
Refrigerated Food Processing and Dispensing Equipment,R-449A,Opteon® XP 40,R/N,0,"1,400",A1,"October 11, 2016",Acceptable,
Refrigerated Food Processing and Dispensing Equipment,R-449B,Forane® 449B,R/N,0,"1,412",A1,"October 11, 2016",Acceptable,
Refrigerated Transport,R-449B,Forane® 449B,R/N,0,"1,412",A1,"October 11, 2016",Acceptable,
Remote Condensing Units,R-449B,Forane® 449B,R/N,0,"1,412",A1,"October 11, 2016",Acceptable,
Supermarket Systems,R-449B,Forane® 449B,R/N,0,"1,412",A1,"October 11, 2016",Acceptable,
Centrifugal Chillers,Hot Shot,"Hot Shot, Kar Kool",R/N,0.098,"3,337",A1,"September 5, 1996",Acceptable,
Centrifugal Chillers,Ikon A,"Ikon-12, Blend Zeta",N,0,N/A,A1,"June 19, 2000",Acceptable,
Cold Storage Warehouses,R-1270 (Propylene),,N,0,1.8,A3,"December 1, 2016","Unacceptable as of January 3, 2017.",
Cold Storage Warehouses,R-443A,,N,0,2.5,A3,"December 1, 2016","Unacceptable as of January 3, 2017.",
Commerical Ice Machines,R-290 (Propane),,N,0,3,A3,"December 1, 2016; June 13, 2024",Acceptable Subject to Use Conditions: For use in self-contained commercial ice machines; see rule for detailed conditions.,
Positive Displacement Chillers,R-1270 (Propylene),,N,0,1.8,A3,"December 1, 2016","Unacceptable as of January 3, 2017.",
Positive Displacement Chillers,R-443A,,N,0,2.5,A3,"December 1, 2016","Unacceptable as of January 3, 2017.",
Residential and Light Commercial Air Conditioning and Heat Pumps ,R-1270 (Propylene),,N,0,1.8,A3,"December 1, 2016","Unacceptable as of January 3, 2017.",
Residential and Light Commercial Air Conditioning and Heat Pumps ,R-443A,,N,0,2.5,A3,"December 1, 2016","Unacceptable as of January 3, 2017.",
Very Low Temperature Refrigeration Systems,R-290 (Propane),,N,0,3,A3,"December 1, 2016",Acceptable with Use Conditions: See rule for detailed conditions.,
Water Coolers,R-290 (Propane),,N,0,3,A3,"December 1, 2016",Acceptable with Use Conditions: See rule for detailed conditions.,
Cold Storage Warehouses,R-448A,Solstice® N-40,R/N,0,"1,387",A1,"July 21, 2017",Acceptable,
Cold Storage Warehouses,R-449A,Opteon® XP 40,R/N,0,"1,400",A1,"July 21, 2017",Acceptable,
Cold Storage Warehouses,R-449B,Forane® 449B,R/N,0,"1,412",A1,"July 21, 2017",Acceptable,
Cold Storage Warehouses,R-453A,RS-70,R/N,0,"1,770",A1,"July 21, 2017",Acceptable,
Industrial Process Refrigeration,R-448A,Solstice® N-40,R/N,0,"1,387",A1,"July 21, 2017",Acceptable,
Industrial Process Refrigeration,R-449A,Opteon® XP 40,R/N,0,"1,400",A1,"July 21, 2017",Acceptable,
Industrial Process Refrigeration,R-449B,Forane® 449B,R/N,0,"1,412",A1,"July 21, 2017",Acceptable,
Industrial Process Refrigeration,R-453A,RS-70,R/N,0,"1,770",A1,"July 21, 2017",Acceptable,
Industrial Process Refrigeration,R-458A,Bluon TdX 20,R/N,0,"1,650",A1,"July 21, 2017",Acceptable,
Non-Mechanical Heat Transfer Systems,"HFE-7300 (1,1,1,2,2,3,4,5,5,5-decafluoro-3-methoxy-4-(trifluoromethyl)pentane)",Novec 7300,R/N,0,310,A1,"July 21, 2017",Acceptable,
Refrigerated Transport,R-452A,Opteon XP44,R/N,0,"2,140",A1,"July 21, 2017",Acceptable with Use Conditions: For use in refrigerated trucks and trailers only.,
Refrigerated Transport,R-452C,Forane® 452C,R/N,0,"2,200",A1,"July 21, 2017",Acceptable with Use Conditions: For use in refrigerated trucks and trailers only.,
Remote Condensing Units,R-407H,,R/N,0,"1,500",A1,"July 21, 2017",Acceptable,
Remote Condensing Units,R-442A,RS-50,R/N,0,"1,890",A1,"July 21, 2017",Acceptable,
Remote Condensing Units,R-452A,Opteon XP44,R/N,0,"2,140",A1,"July 21, 2017",Acceptable,
Remote Condensing Units,R-452C,Forane® 452C,R/N,0,"2,200",A1,"July 21, 2017",Acceptable,
Remote Condensing Units,R-453A,RS-70,R/N,0,"1,770",A1,"July 21, 2017",Acceptable,
Remote Condensing Units,R-458A,Bluon TdX 20,R/N,0,"1,650",A1,"July 21, 2017",Acceptable,
Residential and Light Commercial Air Conditioning and Heat Pumps ,R-458A,Bluon TdX 20,R,0,"1,650",A1,"July 21, 2017",Acceptable,
Residential Dehumidifiers,R-513A,Opteon® XP 10,R/N,0,630,A1,"July 21, 2017",Acceptable,
Ice Skating Rinks,R-450A,Solstice® N-13,R/N,0,600,A1,"October 4, 2018",Acceptable,
Ice Skating Rinks,R-513A,Opteon® XP 10,R/N,0,630,A1,"October 4, 2018",Acceptable,
Centrifugal Chillers,Ikon A,"Ikon-12, Blend Zeta",R/N,0,N/A,A1,N/A,REMOVE ROW,
Industrial Process Refrigeration,R-1224yd(Z),AMOLEA® yd,R/N,0.00012,1,A1,"November 25, 2019",Acceptable,
Positive Displacement Chillers,R-1224yd(Z),AMOLEA® yd,R/N,0.00012,1,A1,"November 25, 2019",Acceptable,
Refrigerated Food Processing and Dispensing Equipment,R-407H,D407,R/N,0,"1,500",A1,"November 25, 2019",Acceptable,
Refrigerated Transport,R-407H,D407,R/N,0,"1,500",A1,"November 25, 2019",Acceptable with Use Conditions: For use in refrigerated trucks and trailers only.,
Refrigerated Transport,R-453A,RS-70,R/N,0,"1,770",A1,"November 25, 2019",Acceptable with Use Conditions: For use in refrigerated trucks and trailers only.,
Supermarket Systems,R-407H,D407,R/N,0,"1,500",A1,"November 25, 2019",Acceptable,
Centrifugal Chillers,Ikon B,,R/N,0,N/A,A1,"December 6, 1999",Acceptable,
Industrial Process Air Conditioning,R-515B,,N,0,287,A1,"December 11, 2020",Acceptable,
Industrial Process Refrigeration,HCFO-1233zd(E),"Solstice® N12, Solstice® 1233zd(E)",R/N,<0.0004,3.7,A1,"December 11, 2020",Acceptable,
Positive Displacement Chillers,R-515B,,N,0,287,A1,"December 11, 2020",Acceptable,
Residential and Light Commercial Air Conditioning and Heat Pumps ,R-452B,Opteon™ XL55,N,0,700,A2L,"May 6, 2021",Acceptable with Use Conditions: See rule for detailed conditions.,
Residential and Light Commercial Air Conditioning and Heat Pumps ,R-454A,Opteon™ XL40,N,0,240,A2L,"May 6, 2021",Acceptable with Use Conditions: See rule for detailed conditions.,
Residential and Light Commercial Air Conditioning and Heat Pumps ,R-454B,Opteon™ XL41,N,0,470,A2L,"May 6, 2021",Acceptable with Use Conditions: See rule for detailed conditions.,
Residential and Light Commercial Air Conditioning and Heat Pumps ,R-454C,Opteon™ XL20,N,0,150,A2L,"May 6, 2021",Acceptable with Use Conditions: See rule for detailed conditions.,
Residential and Light Commercial Air Conditioning and Heat Pumps ,R-457A,Forane® 457A,N,0,140,A2L,"May 6, 2021",Acceptable with Use Conditions: See rule for detailed conditions.,
